Mass [Msun]          H-1               He-4            C-12             N-14              O-16             Si-28            Ni-56            
   1.705279E+00     6.875045E-14     1.581145E-13     1.200427E-04     6.846623E-11     1.817874E-01     4.029367E-01     5.303672E-07  
   1.705804E+00     6.568640E-14     1.465478E-13     1.197222E-04     7.227551E-11     1.931159E-01     3.951693E-01     4.616319E-07  
   1.706388E+00     6.253210E-14     1.358852E-13     1.193532E-04     7.626354E-11     2.050962E-01     3.869663E-01     3.992190E-07  
   1.706971E+00     5.940644E-14     1.264299E-13     1.189223E-04     8.026527E-11     2.172359E-01     3.786719E-01     3.448237E-07  
   1.707555E+00     5.632734E-14     1.179226E-13     1.184398E-04     8.426939E-11     2.294993E-01     3.703152E-01     2.974680E-07  
   1.708340E+00     5.162774E-14     1.062332E-13     1.174965E-04     9.045475E-11     2.486563E-01     3.573231E-01     2.357733E-07  
   1.709326E+00     4.676887E-14     9.550865E-14     1.165154E-04     9.713234E-11     2.696275E-01     3.431854E-01     1.824600E-07  
   1.710101E+00     4.394167E-14     8.981181E-14     1.160444E-04     1.012046E-10     2.825564E-01     3.345187E-01     1.555859E-07  
   1.710665E+00     4.136402E-14     8.486415E-14     1.154488E-04     1.049395E-10     2.944542E-01     3.265977E-01     1.339881E-07  
   1.711087E+00     4.005429E-14     8.246182E-14     1.152455E-04     1.069176E-10     3.008019E-01     3.223850E-01     1.237190E-07  
   1.711369E+00     3.881904E-14     8.022566E-14     1.149445E-04     1.087508E-10     3.066932E-01     3.184939E-01     1.147059E-07  
   1.711859E+00     3.619018E-14     7.559191E-14     1.141759E-04     1.126786E-10     3.193372E-01     3.101926E-01     9.716249E-08  
   1.712557E+00     3.334450E-14     7.079263E-14     1.134334E-04     1.171134E-10     3.336274E-01     3.008863E-01     8.020451E-08  
   1.713256E+00     3.063329E-14     6.637316E-14     1.127004E-04     1.214868E-10     3.476635E-01     2.918380E-01     6.600699E-08  
   1.713954E+00     2.805672E-14     6.227893E-14     1.119816E-04     1.258040E-10     3.614072E-01     2.830773E-01     5.415068E-08  
   1.714769E+00     2.496761E-14     5.745596E-14     1.110277E-04     1.312177E-10     3.783696E-01     2.724190E-01     4.189863E-08  
   1.715626E+00     2.236107E-14     5.343464E-14     1.102987E-04     1.360931E-10     3.933139E-01     2.631785E-01     3.303469E-08  
   1.716604E+00     1.908520E-14     4.834312E-14     1.091841E-04     1.426948E-10     4.127761E-01     2.513952E-01     2.374082E-08  
   1.717485E+00     1.738817E-14     4.568889E-14     1.088727E-04     1.464671E-10     4.235065E-01     2.450144E-01     1.960344E-08  
   1.718072E+00     1.587397E-14     4.326424E-14     1.083821E-04     1.500061E-10     4.331760E-01     2.393565E-01     1.633290E-08  
   1.718705E+00     1.427469E-14     4.064457E-14     1.078251E-04     1.540210E-10     4.437048E-01     2.332928E-01     1.325427E-08  
   1.719384E+00     1.275666E-14     3.808636E-14     1.073070E-04     1.581632E-10     4.540952E-01     2.274090E-01     1.066688E-08  
